Ticker,Sector
HSON,Industrials
HST,Real Estate
HSTM,Healthcare
HSY,Consumer Defensive
HTBK,Financial Services
HTHT,Consumer Cyclical
HTLD,Industrials
HTO,Utilities
HUBB,Industrials
HUBG,Industrials
HUM,Healthcare
HURA,Healthcare
HURC,Industrials
HURN,Industrials
HWBK,Financial Services
HWC,Financial Services
HWKN,Basic Materials
IAC,Communication Services
IART,Healthcare
IBCP,Financial Services
IBIO,Healthcare
IBKR,Financial Services
IBM,Technology
IBOC,Financial Services
ICAD,Healthcare
ICCC,Healthcare
ICE,Financial Services
ICFI,Industrials
ICLR,Healthcare
ICMB,Financial Services
ICUI,Healthcare
IDCC,Technology
IDN,Technology
IDXX,Healthcare
IEP,Energy
IESC,Industrials
IEX,Industrials
IFF,Basic Materials
III,Technology
ILMN,Healthcare
IMKTA,Consumer Defensive
IMMP,Healthcare
IMMR,Technology
IMNN,Healthcare
IMOS,Technology
IMUX,Healthcare
INBK,Financial Services
INCY,Healthcare
INDB,Financial Services
INDV,Healthcare
INGN,Healthcare
INM,Healthcare
INO,Healthcare
INOD,Technology
INSE,Consumer Cyclical
INSG,Technology
INSM,Healthcare
INTC,Technology
INTG,Consumer Cyclical
INTU,Technology
INTZ,Technology
INVA,Healthcare
INVE,Industrials
IONS,Healthcare
IOSP,Basic Materials
IOVA,Healthcare
IP,Consumer Cyclical
IPA,Healthcare
IPAR,Consumer Defensive
IPDN,Industrials
IPG,Communication Services
IPGP,Technology
IPM,Technology
IPWR,Industrials
IQV,Healthcare
IRBT,Consumer Cyclical
IRD,Healthcare
IRDM,Communication Services
IRIX,Healthcare
IRM,Real Estate
IRMD,Healthcare
IROQ,Financial Services
IRWD,Healthcare
ISBA,Financial Services
ISRG,Healthcare
ISSC,Industrials
ISTR,Financial Services
IT,Technology
ITIC,Financial Services
ITRI,Technology
ITRN,Technology
ITW,Industrials
IVDA,Industrials
IVZ,Financial Services
IZEA,Communication Services
J,Industrials
JACK,Consumer Cyclical
JAKK,Consumer Cyclical
JAZZ,Healthcare
JBHT,Industrials
JBL,Technology
JBLU,Industrials
JBSS,Consumer Defensive
JCI,Industrials
JCTC,Basic Materials
JD,Consumer Cyclical
JJSF,Consumer Defensive
JKHY,Technology
JNJ,Healthcare
JNPR,Technology
JOUT,Consumer Cyclical
JOYY,Communication Services
JPM,Financial Services
JRVR,Financial Services
JSM,N/A
JVA,Consumer Defensive
JXG,Consumer Cyclical
JYNT,Healthcare
K,Consumer Defensive
KALU,Basic Materials
KDP,Consumer Defensive
KE,Industrials
KELYA,Industrials
KELYB,Industrials
KEQU,Consumer Cyclical
KEY,Financial Services
KEYS,Technology
KFFB,Financial Services
KG,Financial Services
KGEI,Energy
KIM,Real Estate
KINS,Financial Services
KIRK,Consumer Cyclical
KKR,Financial Services
KLAC,Technology
KLIC,Technology
KMB,Consumer Defensive
KMDA,Healthcare
KMI,Energy
KMX,Consumer Cyclical
KNDI,Consumer Cyclical
KO,Consumer Defensive
KOPN,Technology
KOSS,Technology
KPTI,Healthcare
KR,Consumer Defensive
KRMD,Healthcare
KRNY,Financial Services
KTCC,Technology
KTOS,Industrials
KVHI,Communication Services
KZIA,Healthcare
L,Financial Services
LAB,Healthcare
LAKE,Consumer Cyclical
LAMR,Real Estate
LANC,Consumer Defensive
LAND,Real Estate
LARK,Financial Services
LBRDA,Communication Services
LBRDK,Communication Services
LBTYA,Communication Services
LBTYB,Communication Services
LBTYK,Communication Services
LCNB,Financial Services
LCUT,Consumer Cyclical
LDOS,Technology
LDWY,Communication Services
LE,Consumer Cyclical
LECO,Industrials
LEDS,Technology
LEE,Communication Services
LEN,Consumer Cyclical
LFCR,Healthcare
LFMD,Healthcare
LFUS,Technology
LFVN,Consumer Defensive
LFWD,Healthcare
LGIH,Consumer Cyclical
LGND,Healthcare
LGO,Basic Materials
LH,Healthcare
LHX,Industrials
LII,Industrials
LIN,Basic Materials
LINC,Consumer Defensive
LIND,Consumer Cyclical
LINK,Technology
LIQT,Industrials
LIVE,Consumer Cyclical
LIXT,Healthcare
LKFN,Financial Services
LKQ,Consumer Cyclical
LLY,Healthcare
LMAT,Healthcare
LMB,Industrials
LMNR,Consumer Defensive
LMT,Industrials
LNT,Utilities
LNW,Consumer Cyclical
LOAN,Real Estate
LOCO,Consumer Cyclical
LOGI,Technology
LOPE,Consumer Defensive
LOW,Consumer Cyclical
LPCN,Healthcare
LPLA,Financial Services
LPSN,Technology
LPTH,Technology
LQDT,Consumer Cyclical
LRCX,Technology
LRFC,Financial Services
LRMR,Healthcare
LSAK,Technology
LSBK,Financial Services
LSCC,Technology
LSTA,Healthcare
LSTR,Industrials
LTBR,Industrials
LTRX,Technology
LULU,Consumer Cyclical
LUV,Industrials
LVS,Consumer Cyclical
LWAY,Consumer Defensive
LWLG,Basic Materials
LXRX,Healthcare
LYB,Basic Materials
LYTS,Technology
LYV,Communication Services
MA,Financial Services
MAA,Real Estate
MANH,Technology
MAR,Consumer Cyclical
MARA,Financial Services
MARPS,Energy
MAS,Industrials
MASI,Healthcare
MAT,Consumer Cyclical
MATW,Industrials
MAYS,Real Estate
MBCN,Financial Services
MBOT,Healthcare
MBUU,Consumer Cyclical
MBWM,Financial Services
MCD,Consumer Cyclical
MCHP,Technology
MCHX,Communication Services
MCK,Healthcare
MCO,Financial Services
MCRI,Consumer Cyclical
MCVT,Financial Services
MDGL,Healthcare
MDLZ,Consumer Defensive
MDT,Healthcare
MDWD,Healthcare
MDXG,Healthcare
MEIP,Healthcare
MELI,Consumer Cyclical
MEOH,Basic Materials
MERC,Basic Materials
MESO,Healthcare
MET,Financial Services
META,Communication Services
MFIC,Financial Services
MFIN,Financial Services
MGEE,Utilities
MGIC,Technology
MGM,Consumer Cyclical
MGNI,Communication Services
MGNX,Healthcare
MGPI,Consumer Defensive
MGRC,Industrials
MGYR,Financial Services
MHK,Consumer Cyclical
MIDD,Industrials
MIGI,Financial Services
MIND,Technology
MINM,Technology
MITK,Technology
MKC,Consumer Defensive
MKSI,Technology
MKTX,Financial Services
MLAB,Technology
MLCO,Consumer Cyclical
MLKN,Consumer Cyclical
MLM,Basic Materials
MMC,Financial Services
MMLP,Energy
MMM,Industrials
MMSI,Healthcare
MMYT,Consumer Cyclical
MNDO,Technology
MNKD,Healthcare
MNOV,Healthcare
MNRO,Consumer Cyclical
MNSB,Financial Services
MNST,Consumer Defensive
MO,Consumer Defensive
MODV,Healthcare
MOFG,Financial Services
MOH,Healthcare
MOMO,Communication Services
MORN,Financial Services
MOS,Basic Materials
MPAA,Consumer Cyclical
MPB,Financial Services
MPC,Energy
MPWR,Technology
MRCC,Financial Services
MRCY,Industrials
MRIN,Technology
MRK,Healthcare
MRKR,Healthcare
MRTN,Industrials
MRVL,Technology
MS,Financial Services
MSCI,Financial Services
MSEX,Utilities
MSFT,Technology
MSI,Technology
MSTR,Technology
MTB,Financial Services
MTCH,Communication Services
MTD,Healthcare
MTEX,Consumer Defensive
MTLS,Technology
MTRX,Industrials
MTSI,Technology
MU,Technology
MULN,Consumer Cyclical
MVBF,Financial Services
MVIS,Technology
MXL,Technology
MYGN,Healthcare
MYRG,Industrials
NAGE,Healthcare
NAII,Consumer Defensive
NATH,Consumer Cyclical
NATR,Consumer Defensive
NAVI,Financial Services
NBIX,Healthcare
NBN,Financial Services
NBTB,Financial Services
NCLH,Consumer Cyclical
NCMI,Communication Services
NCPL,Financial Services
NCTY,Financial Services
NDAQ,Financial Services
NDLS,Consumer Cyclical
NDSN,Industrials
NECB,Financial Services
NEE,Utilities
NEGG,Consumer Cyclical
NEM,Basic Materials
NEO,Healthcare
NEOG,Healthcare
NEON,Technology
NEPH,Healthcare
NERV,Healthcare
NEWT,Financial Services
NFBK,Financial Services
NFLX,Communication Services
NGNE,Healthcare
NHTC,Consumer Cyclical
NI,Utilities
NICE,Technology
NITO,Basic Materials
NIXX,Industrials
NKE,Consumer Cyclical
NKSH,Financial Services
NKTR,Healthcare
NMFC,Financial Services
NMIH,Financial Services
NNBR,Industrials
NOC,Industrials
NOTV,Healthcare
NOVT,Technology
NOW,Technology
NRC,Healthcare
NRG,Utilities
NRIM,Financial Services
NSC,Industrials
NSIT,Technology
NSPR,Healthcare
NSSC,Industrials
NSYS,Healthcare
NTAP,Technology
NTCT,Technology
NTES,Communication Services
NTGR,Technology
NTIC,Basic Materials
NTRP,Consumer Cyclical
NTRS,Financial Services
NTWK,Technology
NUE,Basic Materials
NUWE,Healthcare
NVAX,Healthcare
NVDA,Technology
NVEC,Technology
NVEE,Industrials
NVFY,Consumer Cyclical
NVMI,Technology
NVR,Consumer Cyclical
NWBI,Financial Services
NWE,Utilities
NWFL,Financial Services
NWL,Consumer Defensive
NWPX,Basic Materials
NWS,Communication Services
NWSA,Communication Services
NXPI,Technology
NXPL,Technology
NXST,Communication Services
NYMT,Real Estate
O,Real Estate
OBLG,Technology
OBT,Financial Services
OCC,Technology
OCFC,Financial Services
OCGN,Healthcare
OCSL,Financial Services
OCUL,Healthcare
ODFL,Industrials
ODP,Consumer Cyclical
OESX,Consumer Cyclical
OFIX,Healthcare
OFLX,Industrials
OFS,Financial Services
OKE,Energy
OLB,Technology
OLED,Technology
OMAB,Industrials
OMC,Communication Services
OMCC,Financial Services
OMCL,Healthcare
OMER,Healthcare
OMEX,Basic Materials
ON,Technology
ONB,Financial Services
ONCY,Healthcare
OPBK,Financial Services
OPCH,Healthcare
OPI,Real Estate
OPK,Healthcare
OPOF,Financial Services
OPRX,Healthcare
OPXS,Industrials
ORCL,Technology
ORKA,Healthcare
ORLY,Consumer Cyclical
ORMP,Healthcare
ORRF,Financial Services
OSBC,Financial Services
OSIS,Technology
OSPN,Technology
OSUR,Healthcare
OTEX,Technology
OTRK,Healthcare
OTTR,Industrials
OVBC,Financial Services
OVLY,Financial Services
OXBR,Financial Services
OXLC,Financial Services
OXSQ,Financial Services
OXY,Energy
OZK,Financial Services
PAA,Energy
PACB,Healthcare
PAGP,Energy
PAHC,Healthcare
PALI,Healthcare
PAMT,Industrials
PANL,Industrials
PANW,Technology
PARA,Communication Services
PATK,Consumer Cyclical
PAYC,Technology
PAYS,Technology
PAYX,Technology
PBHC,Financial Services
PBPB,Consumer Cyclical
PBYI,Healthcare
PCAR,Industrials
PCG,Utilities
PCH,Real Estate
PCRX,Healthcare
PCSA,Healthcare
PCTY,Technology
PCYO,Utilities
PDEX,Healthcare
PDFS,Technology
PEBK,Financial Services
PEBO,Financial Services
PEG,Utilities
PEGA,Technology
PENN,Consumer Cyclical
PEP,Consumer Defensive
PERI,Communication Services
PESI,Industrials
PETS,Healthcare
PFBC,Financial Services
PFE,Healthcare
PFG,Financial Services
PFIS,Financial Services
PFX,Financial Services
PG,Consumer Defensive
PGC,Financial Services
PGEN,Healthcare
PGR,Financial Services
PH,Industrials
PHIO,Healthcare
PHLT,Healthcare
PHM,Consumer Cyclical
PINC,Healthcare
PKBK,Financial Services
PKG,Consumer Cyclical
PKOH,Industrials
PLAB,Technology
PLAY,Communication Services
PLBC,Financial Services
PLCE,Consumer Cyclical
PLD,Real Estate
PLPC,Industrials
PLUG,Industrials
PLUR,Healthcare
PLUS,Technology
PLXS,Technology
PM,Consumer Defensive
PMCB,Healthcare
PMN,Healthcare
PNBK,Financial Services
PNC,Financial Services
PNFP,Financial Services
PNR,Industrials
PNRG,Energy
PNW,Utilities
POAI,Healthcare
POCI,Healthcare
PODD,Healthcare
POET,Technology
